PrimaryKey;Indikator;Satuan;Kategori;Pengertian;Interpretasi;Fenomena Terakhir;Sumber;SearchIndex;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;;;
Harapan Lama Sekolah (HLS) Perempuan;HLS Perempuan;tahun;IPM;Angka Harapan Lama Sekolah perempuan (HLS P) didefinisikan sebagai lamanya sekolah (dalam tahun) yang diharapkan akan dirasakan oleh anak perempuan pada umur tertentu di masa mendatang;HLS perempuan Indonesia pada tahun 2014 sebesar 12,40 tahun. Artinya, secara rata-rata anak perempuan usia 7 tahun yang masuk jenjang pendidikan formal pada tahun 2014 memiliki peluang untuk bersekolah selama 12,40 tahun atau setara dengan Diploma I.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Harapan Lama Sekolah (HLS) Perempuan IPM;10,85;10,86;11,42;11,51;11,61;12,11;;12,13;12,14;12,22;12,25;12,26;12,43;12,44;;;;;;;
Pengeluaran per Kapita Disesuaikan;Pglr./kap. disesuaikan;ribu rupiah;IPM;Pengeluaran per kapita adalah biaya yang dikeluarkan untuk konsumsi semua anggota rumah tangga selama sebulan dibagi dengan banyaknya anggota rumah tangga yang telah disesuaikan dengan paritas daya beli. Penghitungan paritas daya beli mengacu pada Kota Jakarta Selatan, sementara tahun rujukan adalah 2012.;Pengeluaran per kapita Indonesia pada tahun 2016 sebesar Rp10.150.000. Artinya, secara rata-rata pengeluaran penduduk Indonesia selama setahun adalah Rp10.150.000; ;"1. 2013: Analisis Kualitas Pembangunan Manusia Kabupaten Wonogiri 2022 
2. 2014 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
3. 2018 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2024";Pengeluaran per Kapita Disesuaikan IPM;7.556,76;7.928,31;8.132,52;8.234,95;8.248,68;8.416,97;8.589,00;8.765,00;9.117,00;9.426,00;9.286,00;9.429,00;9.780,00;10.283,00;;;;;;;
Pengeluaran per Kapita (Laki-laki);Pglr./kap. (L) disesuaikan;ribu rupiah;IPM;Pengeluaran per kapita laki-laki merupakan rata-rata pengeluaran setiap penduduk dalam suatu wilayah yang telah disesuaikan dengan paritas daya beli. Pengeluaran per kapita laki-laki merupakan pendekatan dari pendapatan laki-laki.;Pengeluaran per kapita laki-laki Indonesia pada tahun 2014 sebesar Rp14.150.000. Artinya, secara rata-rata pengeluaran penduduk laki-laki Indonesia selama setahun adalah Rp14.150.000.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Pengeluaran per Kapita (Laki-laki) IPM;10.669,92;11.158,20;11.236,77;11.315,89;11.394,90;11.476,00;;11.963,00;12.560,00;12.995,00;12.733,00;13.000,00;13.474,00;13.997,00;;;;;;;
Pengeluaran per Kapita (Perempuan);Pglr./kap. (P) disesuaikan;ribu rupiah;IPM;Pengeluaran per kapita perempuan merupakan rata-rata pengeluaran setiap penduduk dalam suatu wilayah yang telah disesuaikan dengan paritas daya beli. Pengeluaran per kapita perempuan merupakan pendekatan dari pendapatan laki-laki.;Pengeluaran per kapita perempuan Indonesia pada tahun 2014 sebesar Rp8.316.000. Artinya, secara rata-rata pengeluaran penduduk perempuan Indonesia selama setahun adalah Rp8.316.000.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Pengeluaran per Kapita (Perempuan) IPM;6.586,43;7.006,36;7.242,91;7.487,45;7.720,35;7.734,00;;7.961,00;8.290,00;8.492,00;8.357,00;8.493,00;8.739,00;9.158,00;;;;;;;
Usia Harapan Hidup;UHH;tahun;IPM;Rata-rata perkiraan banyak tahun yang dapat ditempuh oleh seseorang sejak lahir.;Umur Harapan Hidup sebesar 71,47 tahun berarti bayi yang dilahirkan diharapkan dapat hidup sampai 71-72 tahun.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2013: Analisis Kualitas Pembangunan Manusia Kabupaten Wonogiri 2022 
3. 2018 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Usia Harapan Hidup IPM;75,58;75,65;75,72;75,80;75,84;75,86;75,88;76,00;76,05;76,07;76,16;76,28;76,41;76,56;;;;;;;
Usia Harapan Hidup (UHH) Laki-laki;UHH Laki-laki;tahun;IPM;Angka Harapan Hidup saat Lahir Laki-laki (AHH laki-laki) didefinisikan sebagai rata-rata perkiraan banyak tahun yang dapat ditempuh oleh seseorang laki-laki sejak lahir.;AHH laki-laki Indonesia pada tahun 2014 sebesar 68,87 tahun. Artinya, secara rata-rata bayi laki-laki yang baru lahir pada tahun 2014 memiliki peluang untuk bertahan hidup sampai dengan 68,87 tahun.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Usia Harapan Hidup (UHH) Laki-laki IPM;73,56;73,63;73,70;73,77;73,80;73,82;;74,16;74,21;74,22;74,35;74,44;74,53;74,72;;;;;;;
Usia Harapan Hidup (UHH) Perempuan;UHH Perempuan;tahun;IPM;Angka Harapan Hidup saat Lahir perempuan (AHH perempuan) didefinisikan sebagai rata-rata perkiraan banyak tahun yang dapat ditempuh oleh seseorang laki-laki sejak lahir.;AHH perempuan Indonesia pada tahun 2014 sebesar 72,60 tahun. Artinya, secara rata-rata bayi perempuan yang baru lahir pada tahun 2014 memiliki peluang untuk bertahan hidup sampai dengan 72,60 tahun.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Usia Harapan Hidup (UHH) Perempuan IPM;77,48;77,55;77,63;77,70;77,73;77,78;;77,86;77,91;77,93;78,02;78,13;78,26;78,48;;;;;;;
Indeks Pembangunan Manusia (IPM);IPM;-;IPM;Indeks komposit yang mengukur pembangunan manusia dari tiga aspek dasar, meliputi umur panjang dan hidup sehat, pengetahuan, dan standar hidup.;"Capaian pembangunan manusia di suatu wilayah pada waktu tertentu dikelompokkan dalam empat kelompok, yaitu: 1. Kelompok ""Sangat Tinggi"": IPM ? 80 2. Kelompok ""Tinggi"": 70 ? IPM ? 80 3. Kelompok ""Sedang"": 60 ? IPM ? 70 4. Kelompok ""Rendah"": IPM < 60 Pengelompokan ini bertujuan untuk mengorganisasikan wilayah-wilayah menjadi kelompok-kelompok yang sama dalam hal pembangunan manusia. Semakin tinggi nilai IPM suatu negara/daerah, menunjukkan pencapaian pembangunan manusianya semakin baik"; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
3. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Indeks Pembangunan Manusia (IPM) IPM;63,90;64,75;65,75;66,40;66,77;67,76;68,23;68,66;69,37;69,98;70,25;70,49;71,04;71,97;;;;;;;
Indeks Pembangunan Manusia (IPM) Laki-laki;IPM Laki-laki;-;IPM;Indeks komposit yang mengukur pembangunan manusia (laki-laki) dari tiga aspek dasar yaitu umur Panjang dan hidup sehat, pengetahuan, dan standar hidup layak;Nilai IPM laki-laki berkisar antara 0 sampai dengan 100. Angka IPM laki-laki memberikan gambaran komprehensip mengenai tingkat pencapaian pembangunan manusia (laki-laki) sebagai dampak dari kegiatan pembangunan yang dilakuan oleh suatu negara/daerah. Semakin tinggi  nilai IPM laki-laki suatu negara/daerah, menunjukkan pencapaian pembangunan manusianya (laki-laki) semakin baik. Capaian IPM di suatu wilayah dapat dikelompokkan menjadi empat kategori: Rendah: IPM < 60 Sedang: 60 ? IPM < 70 Tinggi: 70 ? IPM < 80 Sangat tinggi: IPM ? 80.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Indeks Pembangunan Manusia (IPM) Laki-laki IPM;69,20;69,90;70,66;71,30;72,10;72,47;;73,08;73,77;74,26;74,55;74,82;75,23;75,95;;;;;;;
Indeks Pembangunan Manusia (IPM) Perempuan;IPM Perempuan;-;IPM;Indeks komposit yang mengukur pembangunan manusia (perempuan) dari tiga aspek dasar yaitu umur panjang dan hidup sehat, pengetahuan, dan standar hidup layak.;Nilai IPM perempuan berkisar antara 0 sampai dengan 100. Angka IPM perempuan memberikan gambaran komprehensif mengenai tingkat pencapaian pembangunan manusia (perempuan) sebagai dampak dari kegiatan pembangunan yang dilakuan oleh suatu negara/daerah. Semakin tinggi nilai IPM perempuan suatu negara/daerah, menunjukkan pencapaian pembangunan manusianya (perempuan) semakin baik. Capaian IPM di suatu wilayah dapat dikelompokkan menjadi empat kategori: Rendah: IPM < 60 Sedang: 60 ? IPM < 70 Tinggi: 70 ? IPM < 80 Sangat tinggi: IPM ? 80.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Indeks Pembangunan Manusia (IPM) Perempuan IPM;60,69;61,58;63,22;64,03;64,80;65,44;;66,28;67,23;67,88;67,90;68,14;69,01;69,96;;;;;;;
Indeks Pembangunan Gender (IPG);IPG;-;Gender;Angka yang digunakan untuk mengukur ketidakadilan atau ketimpangan bagi laki-laki dan perempuan dalam pencapaian hasil pembangunan pada dimensi umur panjang dan hidup sehat, pengetahuan, dan standar hidup.;Semakin kecil jarak angka IPG dengan nilai 100, maka semakin setara pembangunan antara perempuan dengan laki-laki. Namun semakin besar jarak angka IPG dengan nilai 100, maka semakin besar perbedaan capaian pembangunan antara perempuan dan laki-laki. Angka 100 adalah standar untuk menginterpretasikan angka IPG, karena 100 menggambarkan rasio perbandingan yang paling sempurna.; ;"1. 2010 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Indeks Pembangunan Gender (IPG) Gender;87,71;88,10;89,47;89,81;89,87;90,28;;90,70;91,13;91,41;91,08;91,07;91,73;92,11;;;;;;;
Indeks Ketimpangan Gender (IKG);IKG;-;Gender;Indeks yang menjelaskan sejauh mana kehilangan pencapaian keberhasilan pembangunan dalam tiga aspek pembangunan manusia (kesehatan reproduksi, pemberdayaan, dan partisipasi ekonomi) sebagai akibat adanya ketimpangan gender.;Besaran indeks antara 0 s/d 1. Semakin tinggi indeks semakin timpang capaian keberhasilan pembangunan antara laki-laki dan perempuan.; ;Tabel dinamis BPS Jateng;Indeks Ketimpangan Gender (IKG) Gender;;;;;;;;;0,42;0,40;0,45;0,37;0,38;0,20;;;;;;;
Indeks Pemberdayaan Gender (IDG);IDG;-;Gender;Angka yang digunakan untuk mengukur kesetaraan gender di bidang politik melalui keterlibatan perempuan dalam parlemen, pengambilan keputusan melalui kedudukan dan jabatan sebagai tenaga profesional, dan ekonomi melalui sumbangan pendapatan perempuan.;Indikator ini menunjukkan apakah perempuan dapat memainkan peranan aktif dalam kehidupan ekonomi dan politik.; ;"1. 2014 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2010 - 2013, 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2013, 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Indeks Pemberdayaan Gender (IDG) Gender;61,93;62,71;62,80;61,10;63,34;62,63;;64,04;63,80;71,88;71,56;71,55;72,97;72,64;;;;;;;
Keterlibatan Perempuan di Parlemen;Parlemen Perempuan;persen;Gender;Partisipasi perempuan yang menjadi Anggota Dewan Perwakilan Rakyat Daerah; ; ;"1. 2014 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2010 - 2013, 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2013, 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Keterlibatan Perempuan di Parlemen Gender;;;;10,00;8,89;8,89;;8,89;8,89;16,00;16,33;16,00;16,00;16,00;;;;;;;
Perempuan sebagai Tenaga Profesional;Tenaga Prof. Perempuan;persen;Gender;Persentase perempuan sebagai tenaga managerial, teknisi, dan administrasi; ; ;"1. 2014 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2010 - 2013, 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2013, 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Perempuan sebagai Tenaga Profesional Gender;;;;36,09;57,51;40,27;;45,84;43,12;48,97;44,76;48,31;52,39;49,49;;;;;;;
Sumbangan Pendapatan Perempuan;Pendapatan Perempuan;persen;Gender;Persentase pendapatan daerah yang disumbang oleh tenaga pekerja perempuan; ; ;"1. 2014 - 2017: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014, 2017, 2018
2. 2010 - 2013, 2018: Publikasi Indikator Utama Sosial, Politik dan Keamanan Provinsi Jawa Tengah Tahun 2013, 2018
3. 2019 - 2022: Publikasi Analisis Pembangunan Manusia Berbasis Gender Kabupaten Wonogiri 2018 - 2022
4. 2023: Publikasi Analisis Pembangunan Manusia Berbasis Gender Provinsi Jawa Tengah 2023";Sumbangan Pendapatan Perempuan Gender;;;;37,23;37,86;39,16;;39,18;39,22;39,25;39,20;38,63;38,98;38,96;;;;;;;
Angka Partisipasi Murni (APM) SD/MI;APM SD;persen;Pendidikan;Proporsi dari jumlah siswa usia 7-12 tahun yang sedang bersekolah di jenjang SD,terhadap penduduk kelompok usia sekolah 7-12 tahun;APM menunjukkan seberapa banyak penduduk usia sekolah yang sudah dapat memanfaatkan fasilitas pendidikan sesuai pada jenjang pendidikannya.; ;"1. 2010 - 2014: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2015 - 2023: Publikasi Wonogiri Dalam Angka 2016 - 2024";Angka Partisipasi Murni (APM) SD/MI Pendidikan;97,28;91,79;93,30;96,77;97,23;99,59;96,27;95,77;97,03;96,68;96,23;97,56;99,31;98,93;;;;;;;
Angka Partisipasi Murni (APM) SMP/MTs;APM SMP;persen;Pendidikan;Proporsi dari jumlah siswa usia 13-15 tahun yang sedang bersekolah di jenjang SMP,terhadap penduduk kelompok usia sekolah 13-15 tahun;APM menunjukkan seberapa banyak penduduk usia sekolah yang sudah dapat memanfaatkan fasilitas pendidikan sesuai pada jenjang pendidikannya.; ;"1. 2010 - 2014: Publikasi Indikator Utama Sosial, Politik dan Keamanan Kabupaten Wonogiri Tahun 2014
2. 2015 - 2023: Publikasi Wonogiri Dalam Angka 2016 - 2024";Angka Partisipasi Murni (APM) SMP/MTs Pendidikan;69,10;78,73;80,83;83,47;85,62;87,31;85,94;83,06;84,05;84,98;84,84;85,79;87,44;80,22;;;;;;;
